0,3081
1,2055
2,1081
3,1549
4,3896
5,2770
6,1023
7,710
8,665
9,552
10,509
11,682
12,469
13,177
14,156
15,185
16,134
17,89
18,99
19,104
20,101
21,83
22,95
23,133
24,100
25,107
26,75
27,44
28,39
29,99
30,61
31,70
32,97
33,87
34,57
35,52
36,37
37,49
38,46
39,48
40,61
41,50
42,35
43,105
44,139
45,117
46,139
47,136
48,69
49,46
50,86
51,50
52,70
53,78
54,157
55,108
56,180
57,338
58,116
59,63
60,39
61,167
62,71
63,33
64,57
65,44
66,63
67,60
68,116
69,69
70,90
71,99
72,68
73,72
74,57
75,32
76,30
77,25
78,39
79,54
80,41
81,58
82,44
83,56
84,94
85,98
86,114
87,126
88,156
89,133
90,137
91,105
92,108
93,142
94,120
95,98
96,96
97,88
98,131
99,114
100,104
101,111
102,138
103,106
104,144
105,151
106,167
107,156
108,158
109,178
110,190
111,242
112,227
113,241
114,223
115,237
116,305
117,318
118,353
119,445
120,535
121,424
122,364
123,367
124,440
125,492
126,506
127,705
128,518
129,517
130,554
131,577
132,467
133,449
134,935
135,764
136,334
137,454
138,697
139,329
140,807
141,325
142,215
143,76
144,136
145,138
146,60
147,15
148,28
149,72
150,43
151,16
152,13
153,35
154,32
155,10
156,10
157,2
158,8
159,8
160,25
161,9
162,10
163,2
164,6
165,4
166,1
167,2
168,2
169,2
170,4
171,2
172,10
173,8
174,6
175,2
176,7
177,1
178,1
179,1
180,6
181,6
182,7
183,4
184,3
185,1
186,2
187,2
188,1
189,0
190,4
191,2
192,0
193,0
194,0
195,1
196,0
197,0
198,0
199,3
200,1
201,0
202,1
203,1
204,0
205,0
206,0
207,1
208,0
209,0
210,1
