0,585647746
1,4541063
2,2623330
3,1456134
4,867967
5,556395
6,379062
7,269906
8,199014
9,151492
10,117576
11,93530
12,75734
13,62114
14,51696
15,43776
16,37328
17,32213
18,27935
19,24614
20,21790
21,19311
22,17169
23,15420
24,13864
25,12521
26,11402
27,10355
28,9479
29,8698
30,8011
31,7388
32,6863
33,6423
34,5997
35,5626
36,5302
37,4984
38,4662
39,4399
40,4137
41,3909
42,3673
43,3480
44,3312
45,3130
46,2994
47,2853
48,2734
49,2602
50,2508
51,2407
52,2295
53,2218
54,2134
55,2056
56,2002
57,1935
58,1878
59,1818
60,1775
61,1718
62,1670
63,1631
64,1591
65,1549
66,1510
67,1469
68,1431
69,1398
70,1366
71,1332
72,1306
73,1277
74,1247
75,1230
76,1205
77,1184
78,1162
79,1139
80,1122
81,1103
82,1082
83,1063
84,1042
85,1024
86,1002
87,985
88,974
89,953
90,941
91,919
92,901
93,883
94,874
95,861
96,847
97,833
98,824
99,806
100,794
